,portfolio,benchmark,risk_free,portfolio_return,benchmark_return,excess_return
2015-07-31,8074817.132792965,2260882.25124,0.023153315,0.002065521023010053,0.020951226304332105,0.00013607810634338612
2015-08-31,7388548.98238319,2124474.5539200003,0.021604526000000002,-0.08498869251450214,-0.06033383527390068,-0.08678906968116881
2015-09-30,7493311.474882332,2071907.63988,0.021704335,0.014179034712895833,-0.024743489604526436,0.0123703401295625
2015-10-30,8096858.453028278,2246681.4842399997,0.020574271999999998,0.08054476050662562,0.08435407109658732,0.07883023783995896
2015-11-30,8635483.975365002,2253362.7775199995,0.022596402,0.0665227786136331,0.002973849798855621,0.06463974511363309
2015-12-31,8231629.891805899,2217823.0605599997,0.022350224999999998,-0.04676681523713122,-0.01577185764962097,-0.04862933398713122
2016-01-29,8127686.344812658,2107765.2846,0.020801895,-0.012627334848559157,-0.04962423644932712,-0.014360826098559158
2016-02-29,7838418.049687444,2104921.5021599997,0.017715302,-0.035590484530672595,-0.0013491931292244352,-0.03706675969733926
2016-03-31,7959509.955280415,2247715.58052,0.018842864,0.015448513312938061,0.06783819644270328,0.013878274646271395
2016-04-29,7673343.064744327,2256429.37764,0.017981809,-0.03595282776752373,0.00387673475929029,-0.037451311850857066
2016-05-31,7774445.1747434735,2296950.6820799997,0.018031428000000002,0.013175757834113622,0.01795815319617078,0.011673138834113621
2016-06-30,7847979.75677839,2302902.2437199997,0.016408225000000002,0.009458499015956301,0.002591070712328225,0.008091146932622967
2016-07-29,7975949.257148478,2387807.34684,0.0149491,0.01630604363620569,0.036868739587855304,0.015060285302872359
2016-08-31,8194231.497498528,2391159.94356,0.015590824000000001,0.027367556301140405,0.0014040482472077453,0.026068320967807073
2016-09-30,8140819.0925576985,2391612.0336,0.016267,-0.006518293382013263,0.0001890672521585035,-0.007873876715346596
2016-10-31,8538470.413336538,2347986.21,0.017560522999999998,0.0488465983898807,-0.01824117916580814,0.047383221473214034
2016-11-30,9149377.837412447,2434943.6111999997,0.021416097000000002,0.07154764196661167,0.03703488582243408,0.06976296721661167
2016-12-30,9140860.309414826,2483072.9712,0.02490662,-0.000930940676948766,0.01976610866001982,-0.003006492343615433
2017-01-31,9040169.144243438,2530168.0308,0.024220946,-0.011015502016552992,0.01896644204428677,-0.013033914183219659
2017-02-28,9332309.30109495,2630630.6855999995,0.024171421999999998,0.032315784383032176,0.03970592212732793,0.030301499216365508
2017-03-31,9027914.841114787,2633699.2524,0.024820304,-0.032617270833966816,0.0011664757112421764,-0.03468562950063348
2017-04-28,8844729.174981337,2660747.1216,0.022897422,-0.020291027259050853,0.010269915661536677,-0.022199145759050853
2017-05-31,8654619.676511858,2698191.2844000002,0.022988183000000002,-0.02149410057769019,0.014072800265770402,-0.023409782494356858
2017-06-30,8982703.286550175,2715032.1347999997,0.02177514,0.03790849538180385,0.006241533169782043,0.03609390038180385
2017-07-31,9044399.928060573,2770860.4764,0.023151503,0.006868382439257026,0.02056268170251796,0.004939090522590359
2017-08-31,8733082.657888765,2779342.6716,0.022135563,-0.034420997816111076,0.00306121339282317,-0.036265628066111076
2017-09-29,9019346.413531728,2836675.3704000004,0.021891904000000004,0.032779233502888694,0.02062815045652333,0.03095490816955536
2017-10-31,8992840.495400202,2902870.326,0.023549047,-0.002938784798392935,0.0233354004094819,-0.004901205381726268
2017-11-30,8665622.962846044,2991900.732,0.023523475999999998,-0.03638644905594923,0.030669784041879478,-0.038346738722615896
2017-12-29,8902639.707025118,3025166.6484,0.024049249,0.02735137972137558,0.011118656459488507,0.025347275638042246
2018-01-31,8676777.726584926,3198369.4032,0.025688283,-0.025370225896254484,0.057253954882652947,-0.027510916146254484
2018-02-28,8697150.927790739,3080486.7192,0.028585207,0.002348014648732022,-0.0368571197192098,-3.408593460131138e-05
2018-03-29,8726612.42580018,3002201.4852,0.028420954,0.003387488414775097,-0.025413267816434826,0.001019075581441764
2018-04-30,9182703.88183342,3013721.1276,0.028657143,0.05226443364034439,0.003837065052691546,0.04987633839034439
2018-05-31,9216662.498436961,3086297.4732,0.02976414,0.0036981064663017538,0.024081971266464386,0.0012177614663017537
2018-06-29,9067656.01662616,3105293.406,0.029115186,-0.016167075862447033,0.0061549260772664205,-0.018593341362447034
2018-07-31,9186403.997561183,3220852.6116,0.0288781,0.013095774775453428,0.0372136189696981,0.010689266442120095
2018-08-31,8913601.218891082,3325805.0844000005,0.028869307,-0.029696362008738597,0.032585307512057904,-0.03210213759207193
2018-09-28,9116124.456740694,3344735.3472,0.030024843,0.02272069760316331,0.005691933928658077,0.02021862735316331
2018-10-31,9305429.754345305,3116122.1484,0.03153587,0.020765984328420917,-0.06835016079564582,0.01813799516175425
2018-11-30,9733022.939087097,3179623.7076,0.031157756,0.04595093359789426,0.02037839217329962,0.043354453931227596
2018-12-31,8967354.125233736,2892532.7748000002,0.028296995,-0.07866711284307071,-0.09029085174883722,-0.08102519575973738
2019-01-31,9509194.856571395,3124328.2512,0.027061996,0.06042370177095413,0.08013581675527481,0.058168535437620794
2019-02-28,9619878.337452445,3224644.908,0.026745946,0.011639626966373662,0.03210823214925318,0.009410798133040328
2019-03-29,9666458.704796411,3287305.3464,0.02569181,0.004842095264616653,0.01943173285360711,0.002701111097949986
2019-04-30,9744997.032066314,3420407.1851999997,0.02527691,0.008124829337028405,0.040489648747038975,0.006018420170361739
2019-05-31,9421067.951980658,3203046.5616000006,0.02391236,-0.03324055194883624,-0.0635481718493962,-0.03523324861550291
2019-06-28,9538147.527804492,3428785.3559999997,0.02069515,0.012427420799912658,0.070476276275933,0.010702824966579325
2019-07-31,9684437.743202297,3478064.2248,0.02054355,0.015337382334605021,0.014372106645219818,0.01362541983460502
2019-08-30,9619963.900003288,3422970.5831999998,0.016224179000000002,-0.006657468911322684,-0.015840317498210688,-0.00800948382798935
